"title","link","image","lprice","hprice","mallName","productId","brand","maker"
"삼성전자 갤럭시<b>워치</b>4 40mm SM-R860N (블루투스)","https://search.shopping.naver.com/gate.nhn?id=28669864554","https://shopping-phinf.pstatic.net/main_2866986/28669864554.20210901144931.jpg","227000","0","네이버","28669864554","갤럭시","삼성전자"
"삼성전자 갤럭시<b>워치</b>4 44mm SM-R870N (블루투스)","https://search.shopping.naver.com/gate.nhn?id=28669873555","https://shopping-phinf.pstatic.net/main_2866987/28669873555.20210901145247.jpg","256550","0","네이버","28669873555","갤럭시","삼성전자"
"Apple <b>워치</b> SE GPS 40mm (실버 알루미늄)","https://search.shopping.naver.com/gate.nhn?id=28111436524","https://shopping-phinf.pstatic.net/main_2811143/28111436524.20211013123226.jpg","321530","0","네이버","28111436524","Apple","Apple"
"샤오미 미<b>워치</b> 라이트","https://search.shopping.naver.com/gate.nhn?id=25848945522","https://shopping-phinf.pstatic.net/main_2584894/25848945522.20211119173726.jpg","59130","0","네이버","25848945522","샤오미","샤오미"
"COA <b>스마트워치</b> THE R 더알","https://search.shopping.naver.com/gate.nhn?id=27422378528","https://shopping-phinf.pstatic.net/main_2742237/27422378528.20210609003634.jpg","32790","0","네이버","27422378528","COA","COA"
"Apple <b>워치</b> SE GPS 40mm (골드 알루미늄)","https://search.shopping.naver.com/gate.nhn?id=28111194525","https://shopping-phinf.pstatic.net/main_2811119/28111194525.20211013123526.jpg","328000","0","네이버","28111194525","Apple","Apple"
"어메이즈핏 GTS 2 Mini","https://search.shopping.naver.com/gate.nhn?id=26089553524","https://shopping-phinf.pstatic.net/main_2608955/26089553524.20210222142930.jpg","74470","0","네이버","26089553524","어메이즈핏",""
"Apple <b>워치</b> SE GPS 44mm (스페이스 그레이 알루미늄)","https://search.shopping.naver.com/gate.nhn?id=24263091527","https://shopping-phinf.pstatic.net/main_2426309/24263091527.20211013124352.jpg","362590","0","네이버","24263091527","Apple","Apple"
"Apple <b>워치</b> SE GPS Nike 40mm (실버 알루미늄)","https://search.shopping.naver.com/gate.nhn?id=24795514523","https://shopping-phinf.pstatic.net/main_2479551/24795514523.20211013152128.jpg","339000","0","네이버","24795514523","Apple","Apple"
"Apple <b>워치</b> SE GPS 40mm (스페이스 그레이 알루미늄)","https://search.shopping.naver.com/gate.nhn?id=24263084524","https://shopping-phinf.pstatic.net/main_2426308/24263084524.20211013122732.jpg","329350","0","네이버","24263084524","Apple","Apple"
